OG BAT_len BAT_nvar BGM_len BGM_nvar BRO_len BRO_nvar
OG0002803 - 0 - 0 - 0
OG0002804 700 4 763 0 - 0
OG0002805 616 1 346 0 - 0
OG0002806 514 1 775 0 682 1
OG0002808 1711 5 1711 0 - 0
OG0002810 1840 13 1849 12 - 0
OG0002811 682 0 562 0 - 0
OG0002813 2254 9 2248 1 - 0
OG0002815 805 10 982 4 - 0
OG0002817 673 6 355 1 - 0
OG0002818 - 0 985 4 - 0
OG0002819 487 3 637 6 - 0
OG0002820 4171 3 1858 3 - 0
OG0002821 1168 8 - 0 - 0
OG0002822 511 4 - 0 - 0
OG0002823 7171 17 7168 1 - 0
OG0002824 - 0 808 4 - 0
OG0002825 2014 4 - 0 - 0
OG0002826 1243 6 1243 2 - 0
OG0002827 796 2 766 5 - 0
OG0002829 - 0 1129 0 - 0
OG0002830 3499 17 3499 1 - 0
OG0002831 1432 8 1432 4 1162 0
OG0002832 1423 6 829 0 775 0
OG0002834 3061 20 2122 2 - 0
OG0002835 - 0 1051 1 - 0
OG0002837 1354 16 772 6 787 0
OG0002838 - 0 1201 2 - 0
OG0002840 919 7 853 2 - 0
OG0002841 892 8 892 2 - 0
OG0002842 3244 14 3232 5 1819 0
OG0002844 1915 18 1900 9 1798 11
OG0002846 - 0 - 0 - 0
OG0002847 - 0 - 0 - 0
OG0002849 - 0 1012 0 1228 1
OG0002851 772 8 772 1 - 0
OG0002853 637 2 - 0 - 0
OG0002855 2164 7 2164 0 - 0
OG0002856 3718 15 2734 1 3751 0
OG0002857 1783 7 1783 6 1783 2
OG0002859 1822 9 - 0 - 0
OG0002861 2347 5 - 0 - 0
OG0002862 1075 6 1429 0 - 0
OG0002863 862 4 772 3 - 0
OG0002864 1417 3 - 0 1384 0
OG0002865 - 0 2605 9 - 0
OG0002869 1618 2 1618 5 - 0
OG0002870 - 0 - 0 - 0
OG0002876 412 0 - 0 - 0
OG0002877 - 0 745 0 - 0
OG0002880 - 0 - 0 - 0
OG0002884 - 0 2878 1 - 0
OG0002885 1294 3 - 0 - 0
OG0002887 - 0 - 0 - 0
OG0002888 715 4 - 0 - 0
OG0002889 4453 15 4453 2 - 0
OG0002890 2644 4 3187 1 - 0
OG0002893 3541 11 2305 0 3616 1
OG0002895 - 0 - 0 - 0
OG0002899 - 0 559 1 - 0
OG0002900 - 0 - 0 - 0
OG0002902 1456 3 1471 4 - 0
OG0002903 475 4 475 1 - 0
OG0002904 1132 8 1132 1 - 0
OG0002905 4141 0 4036 6 - 0
OG0002906 - 0 - 0 - 0
OG0002907 - 0 - 0 - 0
OG0002908 - 0 1318 0 - 0
OG0002909 5260 17 3670 2 - 0
OG0002910 - 0 445 1 - 0
OG0002911 790 0 - 0 - 0
OG0002912 - 0 - 0 - 0
OG0002914 1471 1 1471 6 - 0
OG0002915 979 1 - 0 - 0
OG0002916 703 1 1309 3 - 0
OG0002917 727 4 - 0 - 0
OG0002918 2869 1 - 0 - 0
OG0002919 - 0 - 0 - 0
OG0002920 910 1 - 0 - 0
OG0002921 2065 11 1060 4 - 0
OG0002922 1600 1 1399 0 1828 0
OG0002923 430 0 430 1 - 0
OG0002924 3355 4 - 0 - 0
OG0002925 1351 6 1345 0 2191 6
OG0002927 805 3 - 0 - 0
OG0002928 637 0 928 1 - 0
OG0002929 550 4 - 0 - 0
OG0002930 781 8 1054 12 - 0
OG0002931 - 0 2080 0 - 0
OG0002932 628 4 469 0 - 0
OG0002933 1987 6 1390 2 1399 1
OG0002934 817 8 - 0 - 0
OG0002935 - 0 517 1 - 0
OG0002936 1294 5 - 0 - 0
OG0002937 - 0 460 1 - 0
OG0002940 469 2 469 1 - 0
OG0002942 1012 1 - 0 - 0
OG0002943 1003 1 - 0 - 0
OG0002944 2998 30 2014 3 - 0
OG0002945 - 0 1807 0 - 0
OG0002946 409 0 - 0 - 0
OG0002947 1423 2 2071 1 2071 3
OG0002948 3658 10 3247 3 - 0
OG0002949 739 4 793 1 - 0
OG0002950 2857 8 2860 21 - 0
OG0002951 - 0 1195 1 - 0
OG0002953 - 0 973 1 - 0
OG0002954 3598 2 3211 0 - 0
OG0002955 - 0 709 4 - 0
OG0002956 - 0 1576 5 - 0
OG0002957 523 3 409 2 346 0
OG0002958 3385 2 1093 2 - 0
OG0002959 955 5 889 8 601 0
OG0002960 2887 8 3415 5 - 0
OG0002961 3592 4 3592 5 - 0
OG0002962 1357 10 568 0 - 0
OG0002963 - 0 - 0 - 0
OG0002965 1840 3 1630 2 - 0
OG0002967 2857 3 2518 0 - 0
OG0002968 - 0 1525 0 - 0
OG0002970 982 1 397 1 - 0
OG0002971 1384 11 - 0 1402 0
OG0002973 - 0 2398 7 - 0
OG0002974 2551 8 1390 1 - 0
OG0002979 1483 11 1072 0 - 0
OG0002980 3346 3 - 0 - 0
OG0002981 - 0 1867 1 - 0
OG0002982 862 0 - 0 - 0
OG0002984 427 6 - 0 - 0
OG0002986 2119 18 2119 2 - 0
OG0002987 2563 3 2812 1 2203 0
OG0002988 - 0 - 0 - 0
OG0002989 2137 9 1000 0 2056 0
OG0002993 - 0 - 0 - 0
OG0002994 790 0 - 0 - 0
OG0002996 - 0 658 0 - 0
OG0002998 - 0 - 0 - 0
OG0002999 2203 5 - 0 - 0
OG0003000 1033 0 952 1 - 0
OG0003001 - 0 1966 1 1954 0
OG0003003 2542 10 1342 5 - 0
OG0003004 1270 3 1765 1 1801 2
OG0003006 721 2 721 1 - 0
OG0003007 1324 3 1363 0 1117 0
OG0003008 928 5 - 0 - 0
OG0003012 - 0 - 0 - 0
OG0003013 2371 12 2371 15 - 0
OG0003014 3517 15 3517 6 1972 0
OG0003017 1372 2 - 0 727 1
OG0003020 769 1 649 1 - 0
OG0003021 1441 2 1579 3 - 0
OG0003022 5722 29 5761 7 5734 4
OG0003024 1225 10 1225 1 1225 1
OG0003025 841 2 - 0 - 0
OG0003026 2758 13 - 0 - 0
OG0003028 2080 11 2080 2 - 0
OG0003029 1693 6 2161 3 - 0
OG0003030 - 0 - 0 - 0
OG0003032 748 4 - 0 - 0
OG0003033 - 0 - 0 - 0
OG0003034 445 2 - 0 - 0
OG0003035 2449 11 2449 7 2452 1
OG0003036 1387 0 - 0 - 0
OG0003037 994 5 994 7 - 0
OG0003039 1417 2 - 0 - 0
OG0003040 2176 15 2176 0 2176 0
OG0003041 625 6 - 0 - 0
OG0003045 979 1 991 1 - 0
OG0003046 739 1 - 0 - 0
OG0003047 - 0 514 1 1441 0
OG0003049 - 0 - 0 - 0
OG0003052 1738 0 1738 0 - 0
OG0003054 2674 16 2674 2 - 0
OG0003056 - 0 - 0 - 0
OG0003057 1003 3 811 3 - 0
OG0003058 - 0 1330 5 - 0
OG0003059 8689 29 7768 15 - 0
OG0003060 2287 3 2287 4 - 0
OG0003063 2941 13 - 0 - 0
OG0003064 1567 3 643 0 - 0
OG0003065 3868 10 - 0 - 0
OG0003067 - 0 3196 2 - 0
OG0003068 1963 3 - 0 - 0
OG0003069 1303 4 - 0 - 0
OG0003070 1285 3 1285 1 - 0
OG0003072 1348 6 1348 2 - 0
OG0003074 - 0 - 0 508 1
OG0003075 - 0 - 0 - 0
OG0003076 1207 6 1180 0 1522 4
OG0003077 2383 12 2659 5 - 0
OG0003078 436 2 544 0 - 0
OG0003080 - 0 835 0 - 0
OG0003081 4390 17 4402 15 4462 0
OG0003082 - 0 - 0 373 0
OG0003083 - 0 658 1 - 0
OG0003084 3202 2 2602 0 - 0
OG0003086 1708 13 1708 2 - 0
OG0003087 6133 21 6469 7 - 0
OG0003088 1072 5 - 0 - 0
OG0003089 1384 5 - 0 - 0
OG0003091 5041 20 5041 6 - 0
OG0003092 3385 11 - 0 - 0
OG0003093 580 8 577 3 - 0
OG0003094 1048 2 - 0 - 0
OG0003096 1354 5 - 0 1507 1
OG0003097 685 1 - 0 721 0
OG0003098 2056 7 2170 5 - 0
OG0003099 655 3 655 1 - 0
OG0003100 - 0 - 0 - 0
OG0003101 - 0 1744 0 - 0
OG0003103 - 0 - 0 - 0
OG0003105 3658 1 3658 11 3655 0
OG0003108 1168 1 1111 1 - 0
OG0003109 2326 8 2326 5 - 0
OG0003111 2911 20 2518 9 - 0
OG0003112 1663 5 1663 4 - 0
OG0003113 1258 2 1258 0 - 0
OG0003114 844 0 718 1 - 0
OG0003117 817 1 844 1 - 0
OG0003119 949 2 841 0 - 0
OG0003120 - 0 - 0 - 0
OG0003121 - 0 652 1 - 0
OG0003122 1195 3 1096 4 - 0
OG0003127 2323 3 2536 5 1672 0
OG0003129 2188 2 2191 5 - 0
OG0003130 - 0 1294 1 628 1
OG0003131 - 0 1321 1 - 0
OG0003132 - 0 - 0 - 0
OG0003133 1225 4 - 0 - 0
OG0003136 3592 24 2623 5 - 0
OG0003137 1348 5 757 1 - 0
OG0003138 793 3 349 1 - 0
OG0003139 685 1 - 0 1063 0
OG0003140 1240 3 - 0 - 0
OG0003141 649 1 649 1 463 0
OG0003142 - 0 - 0 - 0
OG0003144 1426 3 1573 3 - 0
OG0003145 1744 7 1525 1 1045 0
OG0003146 1285 6 - 0 - 0
OG0003148 - 0 - 0 - 0
OG0003151 2194 0 2011 1 - 0
OG0003152 1042 2 - 0 - 0
OG0003153 - 0 646 4 - 0
OG0003154 778 0 766 3 - 0
OG0003156 868 2 934 4 934 0
OG0003159 787 7 787 4 - 0
OG0003160 2935 12 2950 3 3271 2
OG0003161 1618 9 1618 18 - 0
OG0003162 1144 13 1144 11 1144 27
OG0003165 2224 9 - 0 - 0
OG0003166 976 6 - 0 - 0
OG0003169 - 0 754 1 - 0
OG0003170 - 0 1822 4 - 0
OG0003172 1039 3 - 0 - 0
OG0003174 1618 1 1528 4 1018 0
OG0003175 2626 3 2626 2 2617 1
OG0003176 - 0 847 10 - 0
OG0003177 - 0 - 0 - 0
OG0003178 880 5 1171 6 - 0
OG0003179 - 0 1522 4 - 0
OG0003180 6343 30 6340 2 - 0
OG0003182 649 3 649 2 - 0
OG0003183 3148 5 3148 3 - 0
OG0003184 1216 2 - 0 - 0
OG0003185 2629 6 2629 5 - 0
OG0003186 664 0 838 2 1033 1
OG0003187 568 0 - 0 - 0
OG0003188 541 2 - 0 - 0
OG0003189 403 3 - 0 - 0
OG0003190 928 3 928 2 - 0
OG0003194 2098 13 1117 3 - 0
OG0003195 1258 4 1258 2 1258 0
OG0003196 3754 16 3754 2 - 0
OG0003198 1048 3 - 0 - 0
OG0003200 17998 0 14785 45 - 0
OG0003201 1165 3 1165 1 - 0
OG0003205 2392 13 2389 10 - 0
OG0003207 1318 7 1318 2 - 0
OG0003208 - 0 - 0 - 0
OG0003209 412 5 - 0 - 0
OG0003210 1414 6 - 0 - 0
OG0003211 961 4 961 1 - 0
OG0003213 1069 5 463 0 - 0
OG0003214 - 0 - 0 - 0
OG0003215 460 2 694 5 - 0
OG0003217 2215 9 2215 7 - 0
OG0003218 1255 2 1255 2 - 0
OG0003221 2344 10 - 0 - 0
OG0003223 385 1 - 0 427 0
OG0003224 6214 31 6217 1 - 0
OG0003225 1030 41 511 21 1030 8
OG0003226 2590 6 - 0 - 0
OG0003227 760 0 745 4 - 0
OG0003228 5011 0 4753 18 - 0
OG0003230 970 12 571 1 - 0
OG0003231 6397 24 6700 18 - 0
OG0003232 1378 1 1345 0 - 0
OG0003233 - 0 1612 1 - 0
OG0003234 1195 6 1663 7 - 0
OG0003235 2431 5 - 0 2431 0
OG0003236 1498 5 - 0 - 0
OG0003237 1900 5 - 0 2170 0
OG0003238 823 1 823 2 - 0
OG0003239 607 3 607 2 - 0
OG0003240 4411 1 - 0 - 0
OG0003241 1327 10 1327 4 - 0
OG0003242 6316 21 7153 4 7150 0
OG0003243 1288 7 - 0 - 0
OG0003244 832 2 - 0 - 0
OG0003246 4684 22 4315 13 - 0
OG0003247 826 1 826 2 - 0
OG0003250 547 4 - 0 - 0
OG0003251 814 0 - 0 - 0
OG0003252 619 1 529 0 - 0
OG0003254 1345 5 1345 14 - 0
OG0003255 1009 3 - 0 - 0
OG0003256 - 0 2047 5 - 0
OG0003257 4333 8 2725 1 - 0
OG0003258 1378 8 1084 7 - 0
OG0003260 706 2 490 0 - 0
OG0003261 4360 3 4360 2 - 0
OG0003262 2662 6 - 0 - 0
OG0003263 - 0 - 0 - 0
OG0003266 3199 24 2527 0 1306 0
OG0003267 1315 0 - 0 - 0
OG0003268 733 2 - 0 - 0
OG0003269 - 0 1885 0 - 0
OG0003270 - 0 - 0 - 0
OG0003271 - 0 4204 0 - 0
