OG BGM_transcript BGM_M_logFC BGM_M_pval BGM_F_logFC BGM_F_pval BAT_transcript BAT_F_logFC BAT_F_pval BRO_transcript BRO_F_logFC BRO_F_pval OG BGM_model BGM_dNdS BGM_t BGM_dN BGM_dS BAT_model BAT_dNdS BAT_t BAT_dN BAT_dS BRO_model BRO_dNdS BRO_t BRO_dN BRO_dS OG BAT_bs_omega_model BAT_bs_omega_sites BRO_bs_omega_model BRO_bs_omega_sites BGM_bs_omega_model BGM_bs_omega_sites OG BAT_W-S BAT_S-W BRO_W-S BRO_S-W BGM_W-S BGM_S-W BGC_BAT BGC_BAT_pval BGC_BRO BGC_BRO_pval BGC_BGM BGC_BGM_pval ENC_BAT ENC_BRO ENC_BGM SCUO_BAT SCUO_BRO SCUO_BGM MILC_BAT MILC_BRO MILC_BGM BAT_4FDS BRO_4FDS BGM_4FDS OG BAT_1+2_gc BAT_3rd_gc BRO_1+2_gc BRO_3rd_gc BGM_1+2_gc BGM_3rd_gc
OG0002803 TRINITY_DN86526_c0_g3 36.199674968105 2.84702402463557e-20 3.95251212817614 2.36053631155127e-05 TRINITY_DN10683_c0_g1 35.4573377050877 1.49055489623222e-11 TRINITY_DN52612_c0_g1 158.156828250356 2.03698574780865e-22 OG0002803 general 0.6776 0.006 0.0019 0.0028 general 0.6776 0.003 0.0008 0.0011 general 0.6776 0.010 0.0030 0.0044 OG0002803 general 0 general 0 NA NA OG0002803 0.03920254 1.118858 3.216868 1.201079 1.279038 1.481525 NA 0.9906617 NA 0.2598742 NA 0.9906617 58.22644 51.38163 50.66338 0.1826828 0.1777724 0.1826828 0.2814924 0.3157194 0.2814924 0.3529412 0.2941176 0.3529412 OG0002803 43.88 48.20 45.80 48.95 42.86 41.96
OG0002804 TRINITY_DN1456_c1_g1 20.246917486647 6.97549125018162e-10 9.31620319083511 3.86469679867789e-09 TRINITY_DN10850_c0_g4 31.2073417231413 2.55777611060384e-17 TRINITY_DN89370_c0_g2 48.6809638818807 1.10446686224485e-14 OG0002804 general 0.2647 0.022 0.0044 0.0167 general 0.2647 0.066 0.0135 0.0510 general 0.2647 0.037 0.0077 0.0290 OG0002804 alternative 1 general 0 general 0 OG0002804 7.905771 9.449656 3.822201 12.16543 3.991451 5.459623 NA 0.9996262 NA 0.9996262 NA 0.9996262 40.49347 39.93831 41.18761 0.3585082 0.3813245 0.3585082 0.439036 0.4780882 0.439036 0.8421053 0.8289474 0.8157895 OG0002804 57.91 81.70 56.30 84.25 57.48 84.65
OG0002805 TRINITY_DN2633_c2_g1 21.952197131259 0.0255294976951564 29.1823340063887 0.532117343908624 TRINITY_DN1199_c9_g1 2288.00408186998 0.916785488130106 TRINITY_DN4300_c1_g1 2133.23910030088 0.240964824777682 OG0002805 alternative 0.1895 1.764 0.3180 1.6782 alternative 2.4613 0.000 0.0000 0.0000 alternative 0.0399 0.035 0.0020 0.0512 OG0002805 general 0 general 0 general 0 OG0002805 2.396833 1.9795 6.560467 2.072188 47.15672 100.2634 NA 0.6431167 NA 0.05392873 NA 0.9999707 34.70327 31.9737 46.26812 0.2959479 0.5418153 0.2959479 0.6914688 0.5313192 0.6914688 1 0.9722222 0.8055556 OG0002805 53.17 91.71 53.66 92.68 45.69 59.83
OG0002806 TRINITY_DN1243_c0_g1 74.5094549892189 4.56280459260805e-38 103.538300192926 3.15556775938213e-26 TRINITY_DN1288_c0_g1 93.4429784825549 2.07918742535258e-18 TRINITY_DN1153_c0_g1 320.701126176377 8.41285965946e-62 OG0002806 alternative 0.3561 0.021 0.0047 0.0133 alternative 391.6644 0.011 0.0047 0.0000 alternative 658.5875 0.026 0.0115 0.0000 OG0002806 general 0 alternative 2 general 0 OG0002806 1.678394 1.842813 15.20476 11.98893 5.103709 2.860928 NA 0.9998794 NA 0.4899781 NA 0.2363406 47.72177 53.70987 54.17325 0.1289393 0.1587662 0.1289393 0.3735509 0.3776774 0.3735509 0.7538462 0.7692308 0.7384615 OG0002806 48.54 70.76 48.46 66.96 48.06 63.18
OG0002808 TRINITY_DN12499_c0_g1 31.7752957011959 6.57916813149524e-05 12.1855593824259 0.567982930117245 TRINITY_DN16939_c0_g1 19.6050115356579 0.56747148358707 TRINITY_DN175146_c0_g1 4.66470916950464 0.65067287552887 OG0002808 general 0.1777 0.024 0.0040 0.0227 general 0.1777 0.013 0.0021 0.0121 general 0.1777 0.013 0.0021 0.0121 OG0002808 general 0 general 0 general 0 OG0002808 7.621697 5.9959 9.391705 9.828318 13.95854 13.31191 NA 0.3357187 NA 0.8802251 NA 0.658754 41.74239 41.36316 42.97036 0.2750666 0.3447168 0.2750666 0.4492529 0.4516614 0.4492529 0.7532468 0.7532468 0.7532468 OG0002808 52.98 83.51 47.00 81.74 53.15 82.52
OG0002810 TRINITY_DN78592_c0_g2 376.315247895982 0.00463957763611229 322.585945898792 1.11496513082399e-05 TRINITY_DN172707_c0_g1 407.498888122929 4.30309387388985e-13 TRINITY_DN7497_c0_g2 702.063419602634 0.00581743544586265 OG0002810 general 0.4339 0.029 0.0073 0.0169 general 0.4339 0.017 0.0042 0.0097 general 0.4339 0.043 0.0108 0.0249 OG0002810 alternative 3 general 0 general 0 OG0002810 -1.135244e-13 -6.586264e-14 25.02225 25.25011 27.40149 12.59026 NA 0.9998213 NA 0.9998213 NA 0.01188726 55.64189 55.06924 53.5315 0.1240713 0.1073427 0.1240713 0.4528068 0.4467876 0.4528068 0.6818182 0.7272727 0.6818182 OG0002810 41.35 64.93 41.96 65.91 42.86 66.23
OG0002811 TRINITY_DN16631_c1_g1 2.24397005218321 0.712862119178235 1.53280055974472 0.992444590915455 TRINITY_DN17288_c2_g1 4.15562439596659 4.84115968747928e-05 TRINITY_DN40908_c0_g1 6.02254384165432 2.95327094429017e-05 OG0002811 general 0.1558 0.074 0.0132 0.0847 general 0.1558 0.099 0.0177 0.1134 general 0.1558 0.000 0.0000 0.0000 OG0002811 general 0 general 0 general 0 OG0002811 12.00053 8.414524 8.477058 12.74037 14.63421 14.68937 NA 0.1515086 NA 0.9996747 NA 0.9996746 28.1872 39.9751 32.40905 0.5584029 0.3511782 0.5584029 0.4614892 0.4637998 0.4614892 1 0.9411765 0.9411765 OG0002811 52.86 98.68 59.66 79.32 53.48 91.44
OG0002813 TRINITY_DN6614_c0_g2 220.479607019276 0.129394252732313 138.160961346247 0.0013369273030679 TRINITY_DN2254_c0_g1 177.52246818959 0.224854061028329 TRINITY_DN3553_c0_g1 235.329642341398 0.000182335531138067 OG0002813 general 0.0792 0.014 0.0014 0.0182 general 0.0792 0.009 0.0009 0.0118 general 0.0792 0.024 0.0025 0.0315 OG0002813 general 0 general 0 general 0 OG0002813 6.074684 7.226423 40.69877 19.71718 11.87612 9.555016 NA 0.9994482 NA 0.001949428 NA 0.4962549 46.11616 43.76276 45.44338 0.2018184 0.2195497 0.2018184 0.480496 0.498472 0.480496 0.7467249 0.7554585 0.7336245 OG0002813 49.53 75.90 49.80 77.28 49.73 76.03
OG0002815 TRINITY_DN18636_c0_g1 33.3732123536913 0.000211879071651781 65.8306858408199 2.40599786474321e-22 TRINITY_DN2299_c0_g1 65.2967801662154 1.4744980606975e-13 TRINITY_DN396_c0_g1 84.0200349711154 1.1632203159652e-05 OG0002815 general 0.2005 0.017 0.0030 0.0149 general 0.2005 0.011 0.0020 0.0098 general 0.2005 0.032 0.0057 0.0284 OG0002815 general 0 general 0 general 0 OG0002815 3.334004 6.730878 15.83122 11.25749 5.701493 6.88052 NA 1 NA 0.1544646 NA 1 36.80385 43.62388 38.76487 0.347016 0.2850913 0.347016 0.4678812 0.4736961 0.4678812 0.875 0.9125 0.8875 OG0002815 58.21 86.94 59.98 82.54 61.01 86.54
OG0002817 TRINITY_DN6574_c2_g1 15.4821681467983 0.0802244668868573 13.5596602720957 0.553069959460415 TRINITY_DN2374_c0_g1 43.0467083475684 0.0159690020647183 TRINITY_DN9193_c2_g2 17.6345568892171 0.800775102629109 OG0002817 general 0.0516 0.016 0.0015 0.0283 general 0.0516 0.038 0.0034 0.0666 general 0.0516 0.031 0.0028 0.0548 OG0002817 general 0 general 0 general 0 OG0002817 5.206046 4.348441 3.471134 5.297128 4.629693 2.404151 NA 0.4418814 NA 0.9998922 NA 0.0693769 35.92017 32.30203 34.90678 0.6600566 0.6157794 0.6600566 0.4412935 0.4437872 0.4412935 0.925 0.975 0.925 OG0002817 49.78 90.18 48.32 94.17 50.42 95.76
